year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_growth,gni_usd,national_income_growth,national_income_usd
1972,India,-0.55,71463193830.41,3.72,2497244705.69,267.31,-0.53,71072538512.58,1.46,66108153385
1972,Mexico,8.23,45200000000.00,0.54,242400000.00,869.19,8.22,44387480000.00,8.72,40464207048
1972,South Africa,1.65,21357435928.34,2.37,492386546.20,1984.18,1.50,20654974276.42,4.79,17801037656
1972,China,3.81,113687586299.05,,,477.17,,113687586299.05,,1.03091E+11
1972,World,5.63,3811564536740.61,4.22,,1372.43,,3832567789157.53,5.53,3.25521E+12
1973,Germany,4.78,398374021953.90,3.16,11237904808.10,4240.06,4.81,399423448957.19,4.49,3.43452E+11
1973,France,6.34,264429876252.21,3.14,7976535301.99,3385.51,6.24,265235710076.61,6.23,2.31307E+11
1973,Italy,7.13,175492055795.42,2.20,3638240139.23,2175.59,6.88,176668963799.40,4.01,1.56492E+11
1973,Japan,8.03,432082670450.72,0.82,3374561100.03,2947.08,8.05,432614969398.43,7.08,3.53646E+11
1973,Canada,,131321858814.12,1.83,2363060955.12,7084.62,,129947894210.58,7.23,1.09702E+11
1973,Russian Federation,,,,,,,,,
1973,United States,5.65,1425376000000.00,5.89,81469794407.59,8163.60,5.87,1431848000000.00,5.50,1.24737E+12
1973,United Kingdom,6.52,192537971582.56,4.91,9446894124.04,3880.65,6.75,208161599706.03,4.07,1.81823E+11
1973,Brazil,13.97,83592275863.00,2.15,1512670977.09,801.68,13.59,78380807935.18,12.11,72178679240
1973,India,3.30,85515269585.52,3.16,2529921054.40,268.60,3.36,85101941339.31,3.85,79131354334
1973,Mexico,7.86,55280000000.00,0.54,300800000.00,933.09,8.16,54435528000.00,9.01,49668818327
1973,South Africa,4.57,29295674714.25,2.65,752926325.62,2056.77,4.47,28370548144.32,13.90,24609066516
1973,China,7.76,138544284708.96,,,483.72,,138544284708.96,,1.26006E+11
1973,World,6.42,4650050380519.27,3.77,,1418.52,,4673115594022.92,5.91,3.96177E+12
1974,Germany,0.89,445303484241.55,3.26,12965199626.67,4158.27,0.90,446478840601.62,-0.77,3.81255E+11
1974,France,4.30,285552373158.76,3.09,8361637313.23,3253.33,4.18,286106110201.86,0.57,2.47504E+11
1974,Italy,5.50,199564489431.38,2.07,3890003394.13,2212.21,4.96,199721830902.05,0.94,1.75067E+11
1974,Japan,-1.23,479625998613.41,0.86,3962157887.17,2924.25,-1.38,479242561557.09,-3.05,3.93538E+11
1974,Canada,,160408697341.51,1.78,2809465529.28,7090.00,,158580766871.17,2.81,1.31546E+11
1974,Russian Federation,,,,,,,,,
1974,United States,-0.54,1545243000000.00,5.95,89278920339.82,7909.59,-0.43,1553300000000.00,-4.25,1.3122E+12
1974,United Kingdom,-2.48,206131369798.97,5.07,10450754431.82,3734.84,-2.49,224891538101.92,-5.81,1.94522E+11
1974,Brazil,8.15,109794519727.54,1.94,1790114213.37,833.20,8.56,104325590448.44,5.03,95496328254
1974,India,1.19,99525899115.78,3.20,2895415720.35,272.71,1.32,99161036284.14,-4.24,91517366723
1974,Mexico,5.78,72000000000.00,0.57,407200000.00,964.95,5.51,70743688000.00,5.65,64188310281
1974,South Africa,6.11,36807721037.64,3.09,1102318400.77,2077.14,5.87,35558230627.37,5.34,30513686649
1974,China,2.31,144182133387.72,,,486.17,,144182133387.72,,1.2743E+11
1974,World,1.81,5359410722750.85,3.79,,1391.13,,5376925859146.20,-1.60,4.45685E+12
1975,Germany,-0.87,490636517211.23,3.28,14381443615.86,3984.97,-0.78,492617843230.78,-0.77,4.17532E+11
1975,France,-0.96,360832186018.05,3.20,10945218801.82,3058.74,-0.90,361759216766.10,-0.33,3.10968E+11
1975,Italy,-2.09,227695851126.93,1.98,4217069828.69,2106.08,-1.99,228223152431.79,-1.95,1.97128E+11
1975,Japan,3.09,521541905673.25,0.91,4534902135.20,2734.12,3.16,521531542740.18,4.06,4.31549E+11
1975,Canada,,173834029689.34,1.86,3180915490.19,7170.41,,171802537357.45,2.77,1.43857E+11
1975,Russian Federation,,,,,,,,,
1975,United States,-0.21,1684904000000.00,5.62,92080928753.65,7656.26,-0.43,1684554000000.00,-0.34,1.413E+12
1975,United Kingdom,-1.47,241756637168.14,5.34,12907674883.70,3545.82,-1.76,266674699115.04,1.14,2.29326E+11
